id,code,name,geoid,riskScore,status,avgTemperature,affectedPopulation
tract-04013114900,04013114900,Census Tract 1149,04013114900,73.15,high,39.73,2717
tract-04013113900,04013113900,Census Tract 1139,04013113900,72.45,high,39.67,1532
tract-04013113301,04013113301,Census Tract 1133.01,04013113301,65.82,high,39.64,3748
tract-04013114302,04013114302,Census Tract 1143.02,04013114302,65.6,high,39.74,2711
tract-04013107403,04013107403,Census Tract 1074.03,04013107403,63.43,high,39.35,2200
tract-04013115300,04013115300,Census Tract 1153,04013115300,62.56,high,39.71,2765
tract-04013114301,04013114301,Census Tract 1143.01,04013114301,61.15,high,39.74,868
tract-04013114000,04013114000,Census Tract 1140,04013114000,60.8,high,39.69,1865
tract-04013117300,04013117300,Census Tract 1173,04013117300,60.66,high,39.45,2173
tract-04013113100,04013113100,Census Tract 1131,04013113100,60.6,high,39.66,5837
tract-04013114100,04013114100,Census Tract 1141,04013114100,60.3,high,39.73,2061
tract-04013112202,04013112202,Census Tract 1122.02,04013112202,59.98,high,39.48,4028
tract-04013114200,04013114200,Census Tract 1142,04013114200,59.74,high,39.72,933
tract-04013114704,04013114704,Census Tract 1147.04,04013114704,59.48,high,39.72,1988
tract-04013981000,04013981000,Census Tract 9810,04013981000,59.22,high,39.64,580
tract-04013115400,04013115400,Census Tract 1154,04013115400,58.44,high,39.74,1688
tract-04013106801,04013106801,Census Tract 1068.01,04013106801,58.26,high,39.32,4706
tract-04013115801,04013115801,Census Tract 1158.01,04013115801,58.14,high,39.57,4247
tract-04013112601,04013112601,Census Tract 1126.01,04013112601,57.64,high,39.5,3507
tract-04013114500,04013114500,Census Tract 1145,04013114500,57.12,high,39.69,4224
tract-04013117200,04013117200,Census Tract 1172,04013117200,57.02,high,39.69,1136
tract-04013113502,04013113502,Census Tract 1135.02,04013113502,56.5,high,39.66,3243
tract-04013114402,04013114402,Census Tract 1144.02,04013114402,55.98,high,39.74,1756
tract-04013113202,04013113202,Census Tract 1132.02,04013113202,55.88,high,39.69,2141
tract-04013941000,04013941000,Census Tract 9410,04013941000,55.76,high,39.31,2985
tract-04013113201,04013113201,Census Tract 1132.01,04013113201,55.58,high,39.69,2244
tract-04013106100,04013106100,Census Tract 1061,04013106100,55.4,high,39.31,5835
tract-04013109703,04013109703,Census Tract 1097.03,04013109703,55.34,high,39.4,2980
tract-04013114800,04013114800,Census Tract 1148,04013114800,55.3,high,39.68,3120
tract-04013107601,04013107601,Census Tract 1076.01,04013107601,55.1,high,39.41,2980
tract-04013109200,04013109200,Census Tract 1092,04013109200,55.04,high,39.37,4463
tract-04013108601,04013108601,Census Tract 1086.01,04013108601,55.04,high,39.48,2441
tract-04013116800,04013116800,Census Tract 1168,04013116800,55.02,high,39.59,2659
tract-04013107404,04013107404,Census Tract 1074.04,04013107404,54.98,high,39.36,1256
tract-04013113204,04013113204,Census Tract 1132.04,04013113204,54.94,high,39.59,2484
tract-04013114600,04013114600,Census Tract 1146,04013114600,54.94,high,39.51,1364
tract-04013109102,04013109102,Census Tract 1091.02,04013109102,54.93,high,39.41,6646
tract-04013114401,04013114401,Census Tract 1144.01,04013114401,54.8,high,39.71,1687
tract-04013115802,04013115802,Census Tract 1158.02,04013115802,54.78,high,39.67,3825
tract-04013109003,04013109003,Census Tract 1090.03,04013109003,54.77,high,39.48,6402
tract-04013117000,04013117000,Census Tract 1170,04013117000,54.57,high,39.48,7015
tract-04013109001,04013109001,Census Tract 1090.01,04013109001,54.54,high,39.39,5037
tract-04013110501,04013110501,Census Tract 1105.01,04013110501,54.46,high,39.48,3445
tract-04013104227,04013104227,Census Tract 1042.27,04013104227,54.25,high,39.64,2045
tract-04013104205,04013104205,Census Tract 1042.05,04013104205,53.98,high,39.35,6257
tract-04013112900,04013112900,Census Tract 1129,04013112900,53.94,high,39.64,4630
tract-04013112700,04013112700,Census Tract 1127,04013112700,53.84,high,39.6,7787
tract-04013113701,04013113701,Census Tract 1137.01,04013113701,53.8,high,39.51,5599
tract-04013116736,04013116736,Census Tract 1167.36,04013116736,53.65,high,39.4,3623
tract-04013113503,04013113503,Census Tract 1135.03,04013113503,53.63,high,39.59,4826
tract-04013110802,04013110802,Census Tract 1108.02,04013110802,53.56,high,39.49,2401
tract-04013116615,04013116615,Census Tract 1166.15,04013116615,53.17,high,39.47,3847
tract-04013104401,04013104401,Census Tract 1044.01,04013104401,53.1,high,39.21,5551
tract-04013105900,04013105900,Census Tract 1059,04013105900,52.97,high,39.31,5360
tract-04013104217,04013104217,Census Tract 1042.17,04013104217,52.96,high,39.48,5538
tract-04013111402,04013111402,Census Tract 1114.02,04013111402,52.84,high,39.39,3471
tract-04013112602,04013112602,Census Tract 1126.02,04013112602,52.78,high,39.52,8704
tract-04013116500,04013116500,Census Tract 1165,04013116500,52.72,high,39.57,4973
tract-04013113602,04013113602,Census Tract 1136.02,04013113602,52.66,high,39.61,4292
tract-04013106701,04013106701,Census Tract 1067.01,04013106701,52.64,high,39.34,4559
tract-04013116100,04013116100,Census Tract 1161,04013116100,52.59,high,39.39,4543
tract-04013105503,04013105503,Census Tract 1055.03,04013105503,52.36,high,39.31,4125
tract-04013111800,04013111800,Census Tract 1118,04013111800,52.24,high,39.61,4695
tract-04013106002,04013106002,Census Tract 1060.02,04013106002,51.91,high,39.31,2603
tract-04013110901,04013110901,Census Tract 1109.01,04013110901,51.87,high,39.34,3528
tract-04013111602,04013111602,Census Tract 1116.02,04013111602,51.67,high,39.56,4646
tract-04013108902,04013108902,Census Tract 1089.02,04013108902,51.64,high,39.47,5188
tract-04013110502,04013110502,Census Tract 1105.02,04013110502,51.62,high,39.51,3264
tract-04013106702,04013106702,Census Tract 1067.02,04013106702,51.43,high,39.35,1290
tract-04013116733,04013116733,Census Tract 1167.33,04013116733,51.42,high,38.43,8
tract-04013107800,04013107800,Census Tract 1078,04013107800,51.36,high,39.2,2523
tract-04013112201,04013112201,Census Tract 1122.01,04013112201,51.3,high,39.51,5002
tract-04013112302,04013112302,Census Tract 1123.02,04013112302,51.28,high,39.37,7282
tract-04013105502,04013105502,Census Tract 1055.02,04013105502,51.26,high,39.32,1865
tract-04013106600,04013106600,Census Tract 1066,04013106600,50.92,high,39.38,3649
tract-04013104302,04013104302,Census Tract 1043.02,04013104302,50.87,high,39.3,3909
tract-04013111900,04013111900,Census Tract 1119,04013111900,50.82,high,39.63,2522
tract-04013111601,04013111601,Census Tract 1116.01,04013111601,50.8,high,39.52,3376
tract-04013109002,04013109002,Census Tract 1090.02,04013109002,50.74,high,39.4,3948
tract-04013112507,04013112507,Census Tract 1125.07,04013112507,50.62,high,39.46,3292
tract-04013110600,04013110600,Census Tract 1106,04013110600,50.38,high,39.52,4758
tract-04013111502,04013111502,Census Tract 1115.02,04013111502,50.36,high,39.5,6440
tract-04013112301,04013112301,Census Tract 1123.01,04013112301,50.36,high,39.45,5989
tract-04013116000,04013116000,Census Tract 1160,04013116000,50.18,high,39.45,6848
tract-04013109402,04013109402,Census Tract 1094.02,04013109402,50.03,high,39.35,4744
