id,code,name,riskScore,affectedPopulation,avgTemperature,status,_tileCount,_uniqueCensusTracts,_avgVulnerabilityScore,_avgIntensityScore,_avgTemperatureF,_avgTempAnomalyC,_avgPovertyRate,_avgElderlyRate,_avgNoVehicleRate,_riskBand_critical,_riskBand_high,_riskBand_moderate,_riskBand_low
z-006,PHX-Z06,Sky Harbor / East Lake,57.18,104978,36.5,high,3725,29,24.35,90.0,97.7,-3.0,0.3683,0.0532,0.1277,87,3212,426,0
z-008,PHX-Z08,North Mountain / Sunnyslope,56.97,71633,36.43,high,2555,20,27.45,86.5,97.57,-3.07,0.1602,0.2132,0.1019,0,2327,228,0
z-009,PHX-Z09,Alhambra / Glendale Border,53.68,206195,36.33,high,6197,44,25.74,81.61,97.4,-3.17,0.3559,0.1014,0.1015,0,4510,1687,0
z-007,PHX-Z07,Camelback East / Arcadia,52.79,129883,36.4,high,3696,32,20.66,84.93,97.52,-3.1,0.1959,0.1279,0.0776,0,2634,1062,0
z-001,PHX-Z01,Central City / Downtown Phoenix,49.03,51732,36.03,moderate,2051,18,31.65,66.41,96.85,-3.47,0.3999,0.0984,0.1699,0,1016,1035,0
z-002,PHX-Z02,Midtown / Encanto Village,48.51,64237,36.19,moderate,2074,18,22.66,74.37,97.14,-3.31,0.227,0.1293,0.09,0,1129,945,0
z-010,PHX-Z10,Paradise Valley Border / Camelback,44.08,53256,35.94,moderate,4641,14,26.06,62.11,96.7,-3.56,0.0931,0.2802,0.0414,0,1379,2927,335
z-005,PHX-Z05,South Mountain / Laveen,41.39,213149,35.95,moderate,13367,48,20.04,62.73,96.72,-3.55,0.3135,0.0744,0.0682,0,2326,10773,268
z-003,PHX-Z03,Maryvale West / Encanto,38.64,195873,35.78,moderate,4921,39,23.32,53.96,96.4,-3.72,0.3621,0.0748,0.0919,0,818,3920,183
z-004,PHX-Z04,Southwest Maryvale / Industrial,35.78,107511,35.68,moderate,4972,26,22.32,49.24,96.23,-3.82,0.4165,0.0697,0.0554,0,124,4842,6
